rating,title,date,body,verified,name
5.0 out of 5 stars,Great quality,"Reviewed in the United States on July 24, 2022","Easy to put together. Sturdy. My cat is only 8 lbs and looks like a kitten even though he's 14yrs old. He just fits lying down on the top two perches. The height is perfect, it's not so tall to where you have to secure it to the wall. The only thing I don't like about it is that it's not cushioned. It's just wood cover with rug. But it's easy to vacuum and my cat loves it so much, he's always on it. He doesn't seem to mind that it's not cushioned",true,Kimberly D
5.0 out of 5 stars,good quality & fun,"Reviewed in the United States on July 17, 2022","this was fairly easy to assemble. some of the holes for the screws were hard to find, but other than that it was great. my cat enjoys sleeping on it more than playing with it, but the scratching post comes in handy. it came with a complimentary hanging soft ball. my cat broke the first one within minutes so thankfully we got the second one. best to keep it in a corner.",true,Breanna Kunz
5.0 out of 5 stars,Cats Love it,"Reviewed in the United States on July 16, 2022",Perfect to get the cat to play and she loves laying around on the different levels. Makes a great home and relaxation area for your cat. I use the upper level for a place to feed my cat so the dogs dont get to her food. She really likes the height and security this cat tree gives her.,true,Jeff
5.0 out of 5 stars,Great Prime day find!,"Reviewed in the United States on July 16, 2022",So glad I found this on special! So far it’s working out great!! Needed a distraction for my cat from scratching my mattress and as soon as I put this up beside my bed she made it hers. She’s a normal sized cat and she fits perfectly in the hidey hole as well as the lounging platforms. No noticeable wobble or instability.,true,Christy
5.0 out of 5 stars,View to the bird feeder,"Reviewed in the United States on July 15, 2022",Needed to replace my old cat tree. My two cats like to sit there to look out to our yard and the forest. They are both older so are not interested in the toys but a young cat or kitten would love them.,true,Kim
5.0 out of 5 stars,A kitty hit,"Reviewed in the United States on July 14, 2022",I was amazed at how easy this was to assemble. My cat tried to sit on it before assembly was complete. It's been a  welcome addition to my home.,true,Maria V
5.0 out of 5 stars,Lo mejor,"Reviewed in the United States on July 14, 2022",Excelente tamaño,true,Erika
5.0 out of 5 stars,Durable,"Reviewed in the United States on July 14, 2022",Good quality,true,Littlefish
5.0 out of 5 stars,"My big (17lb.) Cats love it, easy to assemble","Reviewed in the United States on July 11, 2022",It’s not something you would let a kid climb on but it seems very sturdy for our two cats that are up and down it.,true,Amazon Customer
1.0 out of 5 stars,Buyer beware. Tower broke after 3 months and Amazon wouldn't refund.,"Reviewed in the United States on July 8, 2022",This tower was used minimally and the top portion snapped off after only 3 months. Amazon would not refund. Please find another tower to buy.,true,Carrie
5.0 out of 5 stars,Kitty Tree Luv,"Reviewed in the United States on July 8, 2022","I have 4 trees in my house, my cats love them. They do wobble with a cat over 8lbs but they love their trees!",true,Amazon Customer
1.0 out of 5 stars,Disappointed,"Reviewed in the United States on July 8, 2022",This cat tree fell apart immediately. The poles are wobbly and one broke. We can’t fix it although we tried. I am disappointed. This is not the quality I expected.,true,Alanna ali
1.0 out of 5 stars,Very nice until it broke when cat jumped on it due to poor cardboard construction- do not buy,"Reviewed in the United States on July 7, 2022",Poor construction that uses cardboard for something an animal jumps on,true,Brandee S.
2.0 out of 5 stars,Small ledges,"Reviewed in the United States on July 6, 2022",Small cat or kittens only.  The scratching post are very good and about the only thing used by my two adult cats.,true,Kip McGrath
3.0 out of 5 stars,"The second, lower tower juts out.","Reviewed in the United States on July 6, 2022","We bought this for our cat here at home who desperately needed a new one after the old one was all beat up. We looked at the measurements and it all seemed to line up with the last one we bought no problemo.Assembly for these is straight forward as always. Little diagram pics with corresponding letters to each piece, put screw here, put sisal leg there, badda bing badda boom, cat tree. Only one problem.The lower tower you see in the picture here, comes out from the rest of the tower about 2 inches from the base. Which basically means if you plan on pushing this whole thing up against a wall, and are expecting there to be 2 more inches of clearance between say, the tower and a couch leg, or what have you, the lower tower will push the entire thing out because it does not sit flush with the base of the whole tree. Incredibly annoying, but for the price i paid i'm not about to pack the thing back up and send it for a refund. All we ended up doing was just keeping the leg and tower disassembled and assembled the rest of it. Works just as good, and now we have a couple replacement pieces for the taller tower should they get destroyed sooner. Not terrible, but they should really make a note of that in the description.",true,David J
1.0 out of 5 stars,Literally had it 2 minutes and yarn unraveled,"Reviewed in the United States on July 4, 2022",Lasted maybe 2 minutes,true,Amanda Baker
2.0 out of 5 stars,Just get something else,"Reviewed in the United States on July 3, 2022","Perfectly fine for around 2 months, then the bed platform seperated from the plastic that kept it screwed on, leaving it that part broken.",true,Fernando Silva
5.0 out of 5 stars,"4 most old domestic shorthair, LOVES her new perch and play gym!","Reviewed in the United States on June 27, 2022",Liked it so much I ordered an additional one in a different design for downstairs.,true,HeavenlyGardensandMore
1.0 out of 5 stars,Do not risk your cat's safety with this deathtrap,"Reviewed in the United States on June 27, 2022","I can't believe they would still such a dangerous product! The posts are made from thin plastic and cardboard, held together with staples. It's not a matter of if it will break. It's a matter of when. Very very bad.I've had the cat tree for less than two months.  Too long to return it, but too long for it to function properly.",true,Butlecam0
1.0 out of 5 stars,Broken,"Reviewed in the United States on June 27, 2022",Broke after a month,true,emma kruger
1.0 out of 5 stars,Flimsy,"Reviewed in the United States on June 26, 2022","I purchased the replacement dangling toy, only to watch them fall apart within minutes. Didn't survive a 2 lb kitten for five minutes.",true,Bex Rose
4.0 out of 5 stars,My kitty loves it,"Reviewed in the United States on June 20, 2022","Just the right height for my kitty to watch all the action outside. He is quite large (14-15 pounds) but just fits in the bed at the top. Soft and durable. Pictorial instructions only. A bit difficult to figure out,  but a good exercise for my aging brain.",true,Jane F.
5.0 out of 5 stars,Cat loves it,"Reviewed in the United States on June 20, 2022","It went together easily. It is very sturdy and stable. Whenever we want to find our cat, he is usually on the top curled up in the bed supplied with the tree.",true,K. Sexton
5.0 out of 5 stars,Perfect cat tree!,"Reviewed in the United States on June 20, 2022",Cat tree is very good quality and was easy to build. I have it for two smaller kittens and the size works well. Possibly too small for an xtra large kitty!,true,ElleG
5.0 out of 5 stars,It's a hit with my 3 cats,"Reviewed in the United States on June 20, 2022","It took me about 2 hours to assemble,  but mostly because my cats wanted to use it before I finished.  After it was assemble,  my cats ignored for 3 days. After that, there  is always a race for who gets the ""top bunk"". They are enjoying it. I thought my 2 older cats (11 and 12lbs each), it would not hold. But it does. The safety brackets keep it steady. Probably will buy another one, since this one has been great",true,Teresita Ortiz
5.0 out of 5 stars,Great product but...,"Reviewed in the United States on June 18, 2022",My 17 year old cat won't use it,true,Rebecca
5.0 out of 5 stars,My fur baby loves this!,"Reviewed in the United States on June 17, 2022",No Media,true,Tiffnavy88
2.0 out of 5 stars,Broke after 4 months :/,"Reviewed in the United States on June 16, 2022","One of the stands came loose and broke off-- I guess it's put together with staples (because that's what came out). For reference, my cat is 8lbs....You get what you pay for, I guess.",true,Amazon Customer
3.0 out of 5 stars,Not to good cat tree,"Reviewed in the United States on June 14, 2022",Very unstable base to small and if cat jumps up towards top it will fall overThey give you a thing to tie it to wall but what if you don’t want it by a wall,true,Ma cmike
1.0 out of 5 stars,Don’t buy,"Reviewed in the United States on June 13, 2022",Product fell apart not even 3 months in with a small 5 pound cat. Don’t recommend,true,Camryn
5.0 out of 5 stars,Well built and perfect size for my small cat.,"Reviewed in the United States on June 12, 2022","This product was easy to put together, with clear instructions. My small cat immediately took to it, and it is sturdy / stable when she takes a running leap onto it. This one is a good option for adult cats, as its size would likely fit most.",true,Linda
5.0 out of 5 stars,great cat trees,"Reviewed in the United States on June 10, 2022","My 2nd AmazonBasics cat tree is as good as the first -- straightforward assembly, scratch posts one cat loves, platforms the other cat enjoys. Great for my older cats, but young cats would enjoy it even more.You can leave off parts you don't intend to use from all of these trees, for a cleaner look. Kitties like to transition from surface to surface, so putting this next to a desk or another cat tree encourages playfulness (you can see I have another platform next to this one in my photo). The dangling toys are also toss-able if you don't want them on the tree. The cat in the picture loves to chase them.Like with all cat trees, how each kitty uses it will vary. For average sized cats, I think this style (with posts about 18"" tall) is preferable, the posts on smaller versions are too short. See the product photos that diagram the size.The only drawback? There's a LOT of versions of these in different sizes, and prices and availability seem to vary a lot. Fewer models in stock consistently would be preferable... But for the product itself, Highly Recommended.",true,Omar Siddique
5.0 out of 5 stars,Looks nice well made,"Reviewed in the United States on June 5, 2022","We have a young cat, he likes it a lot. He will get much bigger. We will see how well it lasts.  so far we like it. The price was worth it.",true,John-William
5.0 out of 5 stars,Best cat tree ever!,"Reviewed in the United States on June 5, 2022","First off I researched cat trees for three weeks before settling on this one. I have a boho/chic style home so I wanted something that wasn’t an eye sore. I also wanted something that was practical, sturdy and allowed my adult cat to look out the window and my two kittens somewhere to climb and play. It was so hard finding a tower that had large enough platforms that would allow an adult cat enough space to lounge and sleep and not just perch. This tree had it all. It was easy to assemble. The color is very neutral and doesn’t draw attention. It doesn’t wobble at all and the perches are well supported. My three cats fell in love right away. They like the toys that come attached and the kittens climb the scratch posts frequently while playing. Mama kitty loves the tall perches to sleep and I like how they have rims so they can sleep without worrying about falling off. I have to just say, way to go Amazon for this great cat tree design! 100% recommend!",true,Becky A. Brumbaugh
4.0 out of 5 stars,Good cat house for the price.,"Reviewed in the United States on June 5, 2022","A couple of parts that did not make sense in how to attach, but generally a good deal, cat may like it, but shady cat, hard to tell.",true,Sammy
1.0 out of 5 stars,Good at first…,"Reviewed in the United States on June 5, 2022","This is about the quality you would expect for the price. Our cat weighs only 9lbs and both towers broke in about 7 months. The screws all held up, but it’s the pieces that actually screw in separated from the base of each tower. It also almost toppled over many times when she would do a running jump on to it. It’s base needs to be a bit heavier.",true,Chris Eaton
3.0 out of 5 stars,it's cheap for a reason.,"Reviewed in the United States on June 3, 2022","The tree is easy enough to assemble, and is a great price for a cat tree, but you can tell by the quality of the carpeting (or whatever you want to call it) that it will not last long if your kitty likes to scratch the none scratching post parts.The base is way to light and will definitely tip over. I suggest putting a weight on it if you're you have one.",true,Jared
1.0 out of 5 stars,AWFUL quality,"Reviewed in the United States on June 2, 2022",Not sturdy at all. The screws don't tighten all the way.Would NOT recommend.,true,Lindsay
1.0 out of 5 stars,Not worth your money - will become unusable quickly,"Reviewed in the United States on June 2, 2022","This tree was very easy to assemble and is exactly what I was looking for. Unfortunately, after having it for only a few months, both platforms are wobbly as all get out. If it weren't for the wobbliness, this product would be great! Since the wobbliness is SO bad and a key part of the usability of the tree as a whole I cannot recommend this product to anyone and have to give it a 1 star overall. You'll probably be better off spending a little more money for a different tree.",true,Brittney Martens
2.0 out of 5 stars,Fell Apart in 8 Months,"Reviewed in the United States on May 30, 2022","This was a great condo for about 8 months when the larger bed started wobbling and stayed tilted at all times. We took it apart, but couldn't find any way to keep it stable. We paid a lot of money for a condo with only 1 bed since the cats won't use the tilted bed now.",true,Watson
5.0 out of 5 stars,True to size ! Not small like others ! Cat LOVES it!!!,"Reviewed in the United States on May 28, 2022",I decided to purchase this tree after I looked through a few others but reviews said they all ended up being smaller than expected. This one is amazing and actually bigger than i expected! My cat loves it .  You wont be disappointed.,true,Annjmb
2.0 out of 5 stars,Not for large cats,"Reviewed in the United States on May 24, 2022","Not for big cats!  I have a calico female and she is way to big for any of it, it states for large cats well small cats would be the logical term. Don't buy unless you have a cat the size of a 6mth old any older and it won't work.",true,marie
5.0 out of 5 stars,Great tower,"Reviewed in the United States on May 23, 2022",Took about forty minutes to assemble while distracted by a movie and a white claw. The screws weren't labeled well but you could figure it out by process of elimination. The big pieces were labeled well! My cat really likes the hanging ball and scratchy parts. And she loves the height. It's a great tower and looks nice in the corner :),true,Natasha Melady
5.0 out of 5 stars,Good for new owners,"Reviewed in the United States on May 23, 2022","I love how affordable and durable it is. I have an overweight cat and two (2) slim ones. They never knock it off balance or cause any loosening. It was very easy to assemble, finished in 15 minutes. My three (3) cats love it!",true,Sissia
5.0 out of 5 stars,Great stand!! My 4 cats love it!!!,"Reviewed in the United States on May 22, 2022",Love everything and my cats can lay in it separately and have different sizes,true,ashley west
5.0 out of 5 stars,"Easy to assemble, and my cat instantly took to it.","Reviewed in the United States on May 22, 2022","The tree looks very nice, and took less than half an hour to assemble. It is big enough for my growing orange tabby cat to play and jump on. Worth the buy :)",true,William Ray
5.0 out of 5 stars,She loves it!,"Reviewed in the United States on May 21, 2022","My cat loves this.  She is about 12-13 pounds and fits into the cushioned bed space draped or curled up, but, while it may be called XL, it really isn't.  I don't think it would work well for a larger cat but it works great for us.",true,Mary from WI
5.0 out of 5 stars,Better than expected,"Reviewed in the United States on May 16, 2022",Actually nicer and sturdier than I had anticipated. Definitely worth it! My cats absolutely love it,true,April S.
5.0 out of 5 stars,LOVESSSS IT!,"Reviewed in the United States on May 16, 2022","So glad I purchased this! She sleeps on the top circle every day, and it’s tan so it matches my living room. No regrets!",true,Faith Allison
1.0 out of 5 stars,Welp,"Reviewed in the United States on May 15, 2022","Arrived with no instructions, nor tools/screws(?).",true,Micaela
4.0 out of 5 stars,"So far, so good","Reviewed in the United States on May 9, 2022","Easy to assamble, seems to be of relative good quality, my cat use the scratching poles all the time.",true,Amazon Customer
1.0 out of 5 stars,Broken parts,"Reviewed in the United States on May 9, 2022",Came with a broken part.  Part of the ladder was broken in half,true,Amazon Customer
2.0 out of 5 stars,A hit but falling apart,"Reviewed in the United States on May 8, 2022","Update Sept 2022: one post has entirely fallen off and the other is dangerously close to coming off as well. The cats love it, but they love trash so. Disappointed that it barely lasted a year.I bought this for my 2 cats (9 and 10lbs) in fall of 2021, and by March of 2022 it’s gotten a little wobbly. It’s definitely a hit and the cats love it with the little puff balls and scratching posts. I can always find one of them sleeping in the little baskets! The posts are screwed in tight, but there’s some internal wobble that makes them hesitant to jump these days.",true,SF
5.0 out of 5 stars,It’s not just me who likes it my two male cats love it,"Reviewed in the United States on May 6, 2022",Very easy assembly good quality very sturdy,true,Anthony Cantatore
5.0 out of 5 stars,Easy to  assemble- except for one screw,"Reviewed in the United States on May 6, 2022",Cats like it,true,James Kueper
5.0 out of 5 stars,cat tower,"Reviewed in the United States on May 4, 2022",Hard to assemble.  Instructions vague,true,Frances R. Clancy
5.0 out of 5 stars,👍,"Reviewed in the United States on May 4, 2022",👍,true,Amazon Customer
2.0 out of 5 stars,"Extra Large!! It is not! See photo of my 2 year old, 12 pound cat, Finnigan.","Reviewed in the United States on May 3, 2022",I thought this tree would be great but it is way too small for my 12 pound cat. I’m going to have to enlarge the upper lounge pads to accommodate his size. The mere idea of disassembling and returning is too much for me. I’m so disappointed.,true,N Heiden
5.0 out of 5 stars,Why this is the best bet.,"Reviewed in the United States on April 29, 2022","Most young big cats love heights and are fearless about attaining them--unless the height proves ""tipsy.""  They're no dummies.  They register the unstable or unbalanced surface in memory and choose not to return.  I was overly impressionable to photos of floor to ceiling ""cat trees"" without noticing that the base was no larger or heavier than the 3-4 platforms above it.  Certain disaster--not to your cat but to your ego, patience and even pocket-book.  Of course, you can try to secure the top of the tree to your ceiling BUT: 1. your cat may have made up it's mind re: the earlier instability of the tree; 2. your ceiling may not appreciate the drilling needed for a secure fastening; 3. secure or not, the weight of a 4-5 platform tree will eventually defeat the ceiling anchor.While this Amazon tree is not tip-proof, it's: 1. made for large cats; 2. it's tall but not to an excessive degree; 3. the base is wide enough to supply stability that's totally lacking in trees that make no distinction in the size of platforms.",true,Samuel
3.0 out of 5 stars,Check all parts received before assembling!,"Reviewed in the United States on April 28, 2022","It’s a very sturdy cat tower. Easy to assemble. However double check that all parts are in the box before you start to assemble it. I put the whole thing together only to find out the very last piece is missing – the upper most platform. I hope Amazon is willing to work with me to find the replacement part. Will let you know.Addendum – Amazon cut off the picture that I submit it so that it doesn’t show the upper most platform is missing. Come on Amazon, this only makes the oversight worse.  There seems to be no way to get a replacement part.",true,Mary A. Scheller
5.0 out of 5 stars,My 2 cats love this thing!,"Reviewed in the United States on April 25, 2022","After 2 years, replacing bc it needs a refresh. My cats love taking turns in the beds - not sure my bigger cat would safely fit in the top bed not against the wall though. Buying again! :)",true,Jackie Matassa
5.0 out of 5 stars,Great Cat Tower,"Reviewed in the United States on April 24, 2022","This cat tower is perfect for my front porch since it is tall and narrower than some others. It was easy to put together, sturdy and VERY reasonably priced.",true,Cynthia
1.0 out of 5 stars,Great Replacements,"Reviewed in the United States on April 22, 2022",Great Replacement Toys. Exactly as described. Easy to add to condos or just let you’re cat have one on the floor! Shipping was earlier then expected…Fantastic Product! Will purchase again when needed.,true,Delana Thomas
5.0 out of 5 stars,"Sturdy, takes a beating from my 7 cats.","Reviewed in the United States on April 21, 2022","If my 7 cats weren’t so plump and aggressively trying to “win” the top shelf, the tower wouldn’t fall over. I’ve had it for about 6 months, and it’s location is a corner in my bedroom. It has toppled over a few times, but I blame myself and the cats. It comes with an anchor to give it more stability, but it’s too much fun watching them battle for the top, and the wobble of the tower. I recommend this item because it’s sturdy and entertaining for the cats and myself. I’m thinking of buying another one. Welcome to Thunderdome!",true,Cathy F
5.0 out of 5 stars,Cat loves it,"Reviewed in the United States on April 20, 2022",The cat loves it,true,Kathryn Schweitzer
3.0 out of 5 stars,Didn't connect,"Reviewed in the United States on April 18, 2022",The top piece doesn't screw in to the bottom piece correctly so I had to put it In a corner just to help sturdy it.,true,Annallyssia Luna
1.0 out of 5 stars,Only lasted 4 months,"Reviewed in the United States on April 16, 2022","4 months after date of purchase both towers snapped off, would not recommend much better products out there for the same price",true,Amazon Customer
5.0 out of 5 stars,Very good structure. My cats love it.,"Reviewed in the United States on April 14, 2022",No Media,true,ashley
5.0 out of 5 stars,Sturdy soft Cat Tree,"Reviewed in the United States on April 10, 2022",What a great Cat Tree.  I bought a previous model which I enjoyed.  Now the cats have an upgrade.  VERY sturdy.  Heavy platforms give this balance and is not likely to tip over.  Very soft carpet.  Also great price!,true,Joanna
5.0 out of 5 stars,Cats love it,"Reviewed in the United States on April 9, 2022",Had no instructions to assemble but we finally figured it out after redoing a few times lol. Love all the poles have rope for scratching and they are all the same size!,true,Morgan K
5.0 out of 5 stars,OUTSTANDING!!!,"Reviewed in the United States on April 7, 2022",Everything about this post is great. Very sturdy. Cat loves it. When the rope wears out I will order a new tree. Excellent cat post with steps and bed!,true,Ilovewinter
4.0 out of 5 stars,My cat loves it.,"Reviewed in the United States on April 6, 2022","My 12 pound calico loves this. If I'm ever looking for her, I'll find her asleep or bird watching from the very top. I had the next tallest part come loose from the rest of the unit. A little epoxy brought it back.",true,Becky S.
1.0 out of 5 stars,Save your money,"Reviewed in the United States on April 2, 2022",I received these cat toys on Monday. It’s now Saturday and all three balls are in the trash. My kitten is eight months old and was excited to play with the first ball I replaced on his cat tower. The next morning the string surrounding the ball had come unglued and the cord was detached from the ball. This happened with all three balls within one week.,true,Jennifer
2.0 out of 5 stars,"Says covered in ""plush carpet"". That's a flat out lie","Reviewed in the United States on April 1, 2022",This is NOT covered in carpet. It is covered in cheap plush fabric and the sisal wrapped posts are covered in thin cheap sisal rope. *sigh. This cat tree won't last long...,true,Hillary
1.0 out of 5 stars,Product is very unstable.,"Reviewed in the United States on March 31, 2022","The product was easy to put together but over a short time the screws that hold it together come loose and it falls apart. By the time it fell apart, the return date was passed and we couldn't return it.",true,Ryan
3.0 out of 5 stars,"All rope risers, no carpet.","Reviewed in the United States on March 29, 2022","Great price, I just don't care for how it's secured to the wall.",true,Eric S Gunn
3.0 out of 5 stars,I’ve really evaluated this item,"Reviewed in the United States on March 28, 2022","This cat tower is great for small cats or kittens, it was easy to assemble. I’ve had it for about 6 months now and my cat is almost a year old.. it’s not very sturdy when he jumps on it, the whole tower almost falls over. He’s even pretty small for his age so I would consider splurging on a hefty duty cat tower.",true,Bethany Yeager
2.0 out of 5 stars,Muy frágil,"Reviewed in the United States on March 28, 2022","Se rompió rápido, los gatos tienen que treparse con cuidado sino se rompe",true,Ricardo
5.0 out of 5 stars,Good buy,"Reviewed in the United States on March 27, 2022",Great but cats love it,true,Michaela
5.0 out of 5 stars,Cat happy,"Reviewed in the United States on March 26, 2022","Cat likes it, bigger than I thought it would be",true,Average Joe USA
5.0 out of 5 stars,My cat loves this,"Reviewed in the United States on March 25, 2022","My 5 year old, 12 lb. cat loves this cat tree.  It is tall enough she can see everything, and the staggered platforms allow her to quickly and easily climb into the perch.  I wasn't sure she would like the sides to the top-most perch, but as you can see in her photo, she does.",true,Sandra Engle
2.0 out of 5 stars,Very cute but broke 2 months in,"Reviewed in the United States on March 25, 2022","I got this in late January-ish and it's been great. My cats love it and it's very cute and functional. However, as of a few days ago, the top bit (including the bed) has come unattached. There is a core of plastic that fits around the screw to actually hold it on the base of the tower. The wooden pole is held to this plastic core by thick metal staples which have since bent out of the plastic. For now, the top stays connected purely by gravity. I can take the top fully off and it's obviously pretty unstable. Unfortunately it's past the point of returning so I'm going to try to find a way to fix it.",true,Jenny B.
5.0 out of 5 stars,They fight over the tiny pad,"Reviewed in the United States on March 24, 2022",I almost didn’t buy this because I wanted 2 of the sturdier pads.  I even installed them backwards because I was sure they would feel more secure in the one with the sturdy sides and would want it higher.  I was wrong.  My cats literally fight over the tiny pad with the pillow.  Go figure.  I’m very pleased with the quality of this product and it keeps my cats off my desk while I work.,true,Brandi
5.0 out of 5 stars,Very Sturdy,"Reviewed in the United States on March 22, 2022",I loved how easy it was to put together and how nice it looks for the money we spent.  Our kitty will lay there for hours watching birds.  She seems to enjoy herself.  She is very picky about what toy she plays with.  I was very happy that she took to this so easily.,true,Willow Lane
5.0 out of 5 stars,Cat loves it.,"Reviewed in the United States on March 22, 2022",Simply put. Cat loves it. Cost half of what others charge. Win win.,true,Amazon Customer
3.0 out of 5 stars,Good but…,"Reviewed in the United States on March 21, 2022",Good price but not solid,true,like a real game
1.0 out of 5 stars,Not sturdy at all,"Reviewed in the United States on March 20, 2022","It was easy to put together, but once the kitties started to fly up and down, the parts start waving in the breeze. I returned one for a replacement after trying to tighten the circle thingy and it came right off its plastic bit that screws on. But this one is just as rickety. We bought another one that was much sturdier for our home, this one was for staying with family and we didn't want to spend that much.",true,Kim F
3.0 out of 5 stars,It's not sturdy,"Reviewed in the United States on March 19, 2022","It's not sturdy, even if the screws are tight.",true,edith morales
5.0 out of 5 stars,Sturdy,"Reviewed in the United States on March 17, 2022",I would like the platforms to have a higher side,true,Amazon Customer
1.0 out of 5 stars,Have had just a few months...fall apart...poor quality.....fabric on platform wearing out,"Reviewed in the United States on March 15, 2022",Very poor quality....very unhappy with this,true,jacquie Feurer
5.0 out of 5 stars,Not very sturdy,"Reviewed in the United States on March 15, 2022",I have two cats and both are about 20 lbs. This cat tree is NOT for larger cats. I've had this cat tree for about a year and it's literally falling apart. The lower platform began to wobble a couple months ago so I zip tied it to the other post to make it sturdy but it literally fell apart the other day. From the looks of it there is a piece of black plastic STAPLED underneath the post that was not at all reliable. Don't purchase this cat tree. It's not worth the money.,true,Kaitlin Mckee
1.0 out of 5 stars,Less than a month to break,"Reviewed in the United States on March 13, 2022",Junk materials. Seemed ok in the beginning. Cats liked it. Was a bit unsteady so lashed the base to the old cat tree. Couple weeks later heard a loud bang and a cat yelling and found this when I rushed downstairs.,true,Mr Aaron
5.0 out of 5 stars,My cat loves it!,"Reviewed in the United States on March 12, 2022","I rarely leave a review for items I buy but I feel I need to for this one because this was a great purchase for our cat. Assembly was easy, everything lined up perfectly and he climbed in immediately. Definitely recommend for smaller cats or one cat families.",true,SWhitt
5.0 out of 5 stars,Great for Larger Breed Kitties,"Reviewed in the United States on March 12, 2022","Our cats just love this! We have a Norwegian Forest Cat mix and a Chantilly, both are about 15lbs and 10lbs each. It’s purrfect for our girls and they seem to really love it. It’s great for the price and fairly easy to assemble.",true,Ayla Zelana Grebiel
5.0 out of 5 stars,Easy to assemble and pretty stable.,"Reviewed in the United States on March 12, 2022",This was easy to assemble.  Everything included in the box!!  It is super stable until my 15 lb. cat hits the top.  Then it wobbles just a little but not like it will flip or anything.  Cats love it!,true,Jeff McDonald
5.0 out of 5 stars,Easy for Senior Cats,"Reviewed in the United States on March 10, 2022","First off, it was incredibly easy to assemble! It’s a great height and size for my apartment too. I just got a new puppy and I have a senior cat who can’t jump up high anymore but I wanted him to have a way to get away from the puppy if he needed so I got him this! The various levels are perfect for my elderly cat to carefully get up and down and I place it near the window so he can look out and soak up the sun. Super great value for a super great price!",true,Nicole
5.0 out of 5 stars,Good purchase,"Reviewed in the United States on March 7, 2022",,true,William B Cheatham
1.0 out of 5 stars,Missing parts and can't put it together so no clue how to rate it.,"Reviewed in the United States on March 6, 2022",Ordered this for my cat for when we were ready to replace our current one. Just now opened the box and went to put together and it is missing lots of pieced (20 pieces total) of the screw set. Unfortunately my old tree screws wont work because they are too big.  No easy way to contact seller to get replacement parts that I can see so hoping that this comment will get a response. . So now I have to go try to find the pieces to figure it out.,true,Wendy Younger
5.0 out of 5 stars,Easy to assemble and so cute!,"Reviewed in the United States on March 4, 2022","Great buy! My cat is still scared of it heheee but we love it. Very soft, easy to assemble, very nice looking and when she finally quits being a ""scaredy cat""...she will love it too! Thank you!",true,Ashleigh Griffin
1.0 out of 5 stars,No hardware & only half the parts rec'd,"Reviewed in the United States on March 2, 2022","Box had no instructions, no hardware, and only half the parts. What's the deal???",true,PacNW Very Frequent Shopper
1.0 out of 5 stars,Not good,"Reviewed in the United States on March 1, 2022",Not very stable,true,cait
2.0 out of 5 stars,Good quality but small platforms and tips easily.,"Reviewed in the United States on February 28, 2022","I was very disappointed in this product especially bc it the materials are great quality, esp for the price. However, unfortunately the platforms are very ""pointy"" triangles with little room for the car to actually sit, lay and relax. It is not designed for balance and tips very easily, my cat is now terrified so we have no use for it. I read on the reviews that it's not for larger cats but mine is on the smaller side at only 10lbs! Do not buy unless you have small small kittens!",true,JLB
1.0 out of 5 stars,It was not study after 3 months my 9 lb cat was unable to set on the top 2 platforms securely.,"Reviewed in the United States on February 17, 2022",Used by one 9lb cat not sturdy at all. Not able to clean.,true,dalli
4.0 out of 5 stars,Floie gives it 5 paws!,"Reviewed in the United States on February 16, 2022",Our cat loves her new multi level platform.  She is small weighing about 8 pounds. She likes to run and jump up at different levels.  If she were a larger cat there could be concerns for stability.The covering is not very thick it's more cloth than carpet.,true,Lach Kincaid
2.0 out of 5 stars,the perch  is hard and way to small for any cat! Also wobbles,"Reviewed in the United States on February 9, 2022","This cat tree is flimsy and wobbles a lot. The worst feature is the very small, hard resting perch. My cat would not get in in. I also purchased a smaller resting perch with a larger resting perch on top. As they are similar in the way they are put together, I combined parts of both cat trees, driving a hole through the larger resting perch of the shorter cat tree and ended up with about a four-foot cat tree with a larger perch that is still too small. Come on, Amazon, you can do better than this! I am now looking at one that is much taller with a padded extra large perch on Chewy's website that is less expensive and cushiony and tall as my regal cat has come to expect. I will give the flimsy parts away. Sorry to disappoint.",true,Kirito
2.0 out of 5 stars,Cute but broke in less than a month.,"Reviewed in the United States on February 8, 2022",It’s very cute but unfortunately the side stand had already fallen off and can’t be put back on.,true,Heather
5.0 out of 5 stars,Good for small cats,"Reviewed in the United States on February 7, 2022","Bought it for two adult cats around 13-15 lbs. they both enjoy sleeping on it in the sun. Wish it were a little bit sturdier since it looks unstable when they jump on or off from it. Although it comes with a belt for the wall for more support, we don’t want to screw it on the wall.",true,SS
5.0 out of 5 stars,Two 11-pound cats really like this thing.,"Reviewed in the United States on February 5, 2022","This arrived in a large box and weighed 45 pounds. VERY easy to set up - I don't think there were more than eight bolts - and my brother & sister pair have been all over it. They love the scratching posts, and I placed this cat tree right by a window so they also enjoy sitting on the platforms and watching the world go by. There's a dangly rope piece that's supposed to be a toy that they both ignore, but I didn't think they'd go for that anyway. I'd buy this again in a heartbeat.",true,A. McCullough
2.0 out of 5 stars,Good at first- after about a month it gets wobbly and you can’t tighten it to make it more secure.,"Reviewed in the United States on February 4, 2022",I didn’t like how wobbly it got- it didn’t last very long. I’ve had for a couple months- you can’t tighten it either- it’s just breaking.,true,Joesph Ruhe
5.0 out of 5 stars,enjoyable to kitty,"Reviewed in the United States on February 3, 2022","my kitty loves it...at first he was apprehensive, but once i put him on top,...he discovered the ball...he loves it",true,Denise L. Townsend
