,Name,Title,Body,Stars,Time,Vine Voice
1575,Michael Wiggins,Great glove with competitive price,Nitrile gloves work great. Competitive pricing compared to Walmart or other sellers online. Gives you everything you can expect from a glove.,5.0,"Reviewed in the United States on December 29, 2022",
1576,Jon Sutter,Work well,"Fit good, pretty comfortable",4.0,"Reviewed in the United States on December 15, 2022",
1577,Jean S,GREAT FOR THE COST!,"The media could not be loaded.
                



 The durability is great, I’ve bought them a few times already. They fit comfortably, great for cleaning around the house, and keeping the hands clean when planting indoors plants, and other messes!",5.0,"Reviewed in the United States on January 23, 2023",
1578,Sheree Evans,Gloves,About 10 gloves per box are split and unusable so I rate as a 4 star,4.0,"Reviewed in the United States on December 4, 2022",
1579,Scarlet OharaSusan,Great,Great product,5.0,"Reviewed in the United States on January 10, 2023",
1580,Richard L. Keeler,Perfect fit and strong!,Thanks Amazon. Can’t find these in the stores. I need the large. Stores have one size fits “most.”  Too small for me. I need large.,5.0,"Reviewed in the United States 🇺🇸 on December 23, 2022",
1581,JUDITH,These gloves are thinner than the ones I previously ordered.,These gloves were thinner than the ones I had previously purchased.,4.0,"Reviewed in the United States 🇺🇸 on December 8, 2022",
1582,Donna,Gloves for many uses,These gloves come in handy when working in the kitchen or outdoors. Easy on and easy off. Durable to handle many tasks.,5.0,"Reviewed in the United States 🇺🇸 on December 26, 2022",
1583,Chris,Nice gloves,I like these gloves since they have a nice stretch to them and are not too thick.  They are definitely nitrile.  The only reason I did not give them a 5 star rating is because the cuffs are a lot shorter than they appear in the photo and water gets into the glove quite easily.,4.0,"Reviewed in the United States 🇺🇸 on October 24, 2022",
1584,vidalia,Works for Healthcare,"When our family member had to hire private health aides, we had to provide appropriate accoutrements.  We tried various brands. This one worked the best for the workers.",5.0,"Reviewed in the United States 🇺🇸 on December 20, 2022",
1585,Amazon Customer,Get what you pay for,For some cheap gloves for around the house cleaning  these work just fine for me.,4.0,"Reviewed in the United States 🇺🇸 on November 27, 2022",
1586,Ale,They fit  very well!,I am using them to clean my  house and wash my dishes,5.0,"Reviewed in the United States 🇺🇸 on December 29, 2022",
1587,RacheL Pete,Durability.,I used the gloves for work.,5.0,"Reviewed in the United States 🇺🇸 on January 4, 2023",
1588,karenruth,Love these gloves,Love the fit and durability,5.0,"Reviewed in the United States 🇺🇸 on January 3, 2023",
1589,John Q. Publik,Very satisfying precious,Very easy to put on and take off. Used for personal care of elderly parent.,5.0,"Reviewed in the United States 🇺🇸 on December 28, 2022",
1590,Rick,Best price,they work great!!  no latex/powder,5.0,"Reviewed in the United States on January 1, 2023",
1591,audrey,They are great . Love them!,I use for cleaning and in kitchen to handle meat .,5.0,"Reviewed in the United States on December 26, 2022",
1592,Amazon Customer,They do not tear easily.,We have tried a few different brands of gloves and these work best for us as newbies to wearing gloves for wound care.,5.0,"Reviewed in the United States on December 19, 2022",
1593,Emily,They do not rip while on use. The stretch is perfect. I buy them all the time.,"Durability, I use one pair to perform various tasks. They are comfortable and very affordable",5.0,"Reviewed in the United States on December 22, 2022",
1594,VMac55,Great product!,Price.,4.0,"Reviewed in the United States on December 1, 2022",
1595,Debra Jackson,Fit!👍🏼,The fit (small) is perfect!,5.0,"Reviewed in the United States on December 28, 2022",
1596,Trish,Multi-purpose gloves,Great buy for the money.  They are powderfree and I use them for baking.,5.0,"Reviewed in the United States on December 21, 2022",
1597,Elwood Belzer,Gloves,Thye do the job they were purchased for.,5.0,"Reviewed in the United States on December 26, 2022",
1598,Terry T.,They fit well.,They fit well,5.0,"Reviewed in the United States on December 29, 2022",
1599,Roy Rucks jr ,Duality,Work for what I needed them for.,4.0,"Reviewed in the United States on November 13, 2022",
1600,Wanda Clarke,Great buy,Worth the money,5.0,"Reviewed in the United States on December 26, 2022",
1601,Sandra K Howlett,Very easy to put on,Used the gloves to clean husband's wound after leg surgery,5.0,"Reviewed in the United States on December 22, 2022",
1602,Alejandra sedano,Bien,Bien,5.0,"Reviewed in the United States on December 27, 2022",
1603,MsweetM,Great price but….,"I buy gloves often but they have become so expensive and that’s why I thought these would be perfect.  I ordered two packs to have extra when needed, price is great but the gloves are extremely easy to rip because they aren’t made out of a thicker material or they don’t have a thicker coating.  I probably will buy something different next time but its good to have an option as backup.",3.0,"Reviewed in the United States on January 12, 2023",
1604,DONNA DENISE MACMILLAN,Disposable,Good,5.0,"Reviewed in the United States on December 26, 2022",
1605,R. Ching,only 3mm thickness,"False advertisement.  These gloves only has 3mm thickness, which is thin and easily torn.",3.0,"Reviewed in the United States on February 16, 2023",
1606,Nancy Ulizio,Keeps hand dry,I use them for cleaning - they work well,4.0,"Reviewed in the United States on November 1, 2022",
1607,Sdfjldlll,Value gloves,"The price of these was really good compared with some others. They go on and pull off well without tearing. They are fairly thin, so not meant for heavy duty work, but they are good for light cleaning and pouring resin.",4.0,"Reviewed in the United States on September 22, 2022",
1608,Amazon Customer,Good,I use these gloves to wipe my paralyzed husband's behind.,5.0,"Reviewed in the United States on December 19, 2022",
1609,Norman R McConnell,These are excellent!,"I use these all the time now in the kitchen, especially when working with meats. Mixing meatloaf and meatballs is so much better when wearing them - clean hands and nothing stuck under my fingernails. Handling fish and chicken is no longer a worry about picking up contaminates, and cleanup is much easier too. I like both the snug fit and their flexibility, and the cost is very affordable. I'm on my 3rd box and plan to keep using them.",5.0,"Reviewed in the United States on October 14, 2022",
1610,lv2wlk,Great deal and excellent fit!,These are very good quality gloves and I'm really glad I went with the medium size. I have very small hands but thankfully I read the reviews and decided it was best to order a medium. Great fit!,5.0,"Reviewed in the United States on November 21, 2022",
1611,Kindle Customer,Awesome,"These gloves are great. They are very sturdy and they fit like a ""glove"" 🤣",5.0,"Reviewed in the United States on December 12, 2022",
1612,Amazon Customer,Nitrile gloves,Need for work,5.0,"Reviewed in the United States on December 20, 2022",
1613,James OConnell,Good Product,We needed different sizes. This did the trick.,5.0,"Reviewed in the United States on December 15, 2022",
1614,Marylou Calderon Jimenez,Too light,These are a little too light for what I use them for. I need them to be stronger.,4.0,"Reviewed in the United States on October 8, 2022",
1615,B.,Pretty good,"Good gloves and a great value too, they aren't too thin or thick.",4.0,"Reviewed in the United States on October 6, 2022",
1616,B. Hunkeler,Very satisfied!,"I know these are just gloves, but I use them daily in my clean up routines with my dogs and cats.  The fit is perfect for me as I have large hands.  They are lightweight and comfortable and have yet to break on me.  I will be buying these again when the time comes.",5.0,"Reviewed in the United States on October 30, 2022",VINE VOICE
1617,dnabare,Reusable,These are strong enough to reuse. very handy to have disposable gloves for dirty jobs.,5.0,"Reviewed in the United States on December 8, 2022",
1618,Jay L.,Size is true to fit,Good value.,5.0,"Reviewed in the United States on December 19, 2022",
1619,Windy Blanchard,Love these!,I love this product! I use them for multiple purposes.....and they never let me down!Durable and comfortable 😌,5.0,"Reviewed in the United States on December 5, 2022",
1620,Debra,Great deal,Didn’t think I would like this since I have always used latex but this was priced so reasonably I decided to try it and it was well worth the money. You just have to be very careful putting them on,5.0,"Reviewed in the United States on November 8, 2022",
1621,Arlene Morgan,DURABLEAND COMFORTABLE,the gloves are both comfortable and duraBLE,5.0,"Reviewed in the United States on December 12, 2022",
1622,Tammy Cochran,Valuable,It's durable,5.0,"Reviewed in the United States on December 16, 2022",
1623,Judy,Works great,The gloves are well fitting durable and work great,5.0,"Reviewed in the United States on December 9, 2022",
1624,Spicey,Excellent,I like it,5.0,"Reviewed in the United States on December 17, 2022",
1625,guillermo Hidalgo,Buen servicio llego en tiempo,"aunque otras veces se han equivocado de producto,este llego bien",5.0,"Reviewed in the United States on December 7, 2022",
1626,C Juice ,It was very good.,This product is for sanitary purposes,5.0,"Reviewed in the United States on December 12, 2022",
1627,JaneAire,Inexpensive but good quality,"Very good value for the money. Good durability,  will order again.",5.0,"Reviewed in the United States on December 4, 2022",
1628,Andrew,Great gloves for just about everything,"Originally got these gloves for handling food when barbecuing, but now seem to use them all over the house for just about everything: cleaning, handling raw meat, handling greasy stuff, or handling anything gross or sticky or what not.These are very durable, have yet to rip on their own. (did cut quite cleanly when I ran a chefs knife through my finger, but that's not important)",5.0,"Reviewed in the United States on October 3, 2022",
1629,Amazon Customer,Great product,Great quality for price. Geta the job done. The large is a bit big compared to other large gloves I have ordered.,5.0,"Reviewed in the United States on November 21, 2022",
1630,chad loeffler,Ok,Ok,4.0,"Reviewed in the United States 🇺🇸 on October 4, 2022",
1631,Marcus Barnett,Great gloves. Even better price 7,"Use these gloves, working on my cars and other things that I wish to keep my hands clean from very durable for the price. Can't beat them",5.0,"Reviewed in the United States 🇺🇸 on November 18, 2022",
1632,Cyndi M. Klorer,Great fitting gloves!,I’m an RN and take care of my mother who needs 24-7 care. These disposable gloves fit nicely and are well priced! Thank you!,5.0,"Reviewed in the United States 🇺🇸 on November 15, 2022",
1633,Rica Latham,Gloves,For the money they do what they are suppose to do the only thing is that they break within a few hours of use but it is still worth the it i work for a grocery store 6-8 hrs a day so I change they about every 3 hours they work for me thanks,4.0,"Reviewed in the United States 🇺🇸 on July 11, 2022",
1634,DG,There 3 size,Keep my hand clean,5.0,"Reviewed in the United States 🇺🇸 on December 6, 2022",
1635,Scheila Belancourt,It’s soft and comfortable,"Cleaning, washing dishes",4.0,"Reviewed in the United States 🇺🇸 on September 23, 2022",
1636,Andrea Turner,Serves it's puporse,Great value,4.0,"Reviewed in the United States 🇺🇸 on September 23, 2022",
1637,Joseph B. Cohen,Functional and comfortable,"The gloves slip on easily, sense of touch is very good, and they stay intact with rough use.",5.0,"Reviewed in the United States 🇺🇸 on November 19, 2022",
1638,JW,Just Okay,"The gloves fit well, but are extremely thin.  Would not recommend them for anything other than very light use.  Overall, you're getting what you paid for, nothing more.  Personally want something more substantial, so I probably won't purchase them again.  Even if I have to pay more.",3.0,"Reviewed in the United States 🇺🇸 on December 10, 2022",
1639,Krista Higdon,They’re fine,These are a little roomier than the last gloves I purchased. I’m not complaining.,4.0,"Reviewed in the United States 🇺🇸 on September 7, 2022",
1640,Bryan wood,Perfect for cooking,These hold up while I’m preparing my meats completely satisfied,5.0,"Reviewed in the United States 🇺🇸 on November 24, 2022",
1641,Connie Booe,Very good gloves for the price and the seller was prompt.,This proxy is true to fit. Good gloves.,5.0,"Reviewed in the United States 🇺🇸 on November 28, 2022",
1642,RA,good gloves,the gloves are as described. it shipped super quick,5.0,"Reviewed in the United States 🇺🇸 on November 24, 2022",
1643,Ginny,great gloves,Just what i've been looking for. Fit my hands just right. Great for hand washing dishes and general cleaning,5.0,"Reviewed in the United States 🇺🇸 on November 13, 2022",
1644,Amazon Customer,They fit great,I got way more gloves for the money compared to our local grocery store.,5.0,"Reviewed in the United States 🇺🇸 on November 19, 2022",
1645,Alex Movchan,Comfortable gloves,Very comfortable to work with these gloves,5.0,"Reviewed in the United States 🇺🇸 on November 26, 2022",
1646,joniisagem,They work,They  work,5.0,"Reviewed in the United States 🇺🇸 on December 1, 2022",
1647,Kindle Customer,Their true size!,We use them mostly to prep bbq and they’re perfect!,5.0,"Reviewed in the United States 🇺🇸 on November 20, 2022",
1648,Linda,Runs small,"The price was very reasonable so I ordered, but as in most things, you get what you pay for. First, these gloves run small. I ordered my usual ""medium"" size, and these fit more like a size ""small"" so if you order, I'd recommend going up a size from your normal. They are also a little thinner and shorter than other brands, but they are fine for my needs. I'm not sure how they would hold up for tough jobs. Overall, these gloves are pretty good for the price and I would probably order again.",4.0,"Reviewed in the United States 🇺🇸 on April 26, 2022",
1649,ruben macias,they works for the job,they were ok,4.0,"Reviewed in the United States 🇺🇸 on September 12, 2022",
1650,K. Diemer,Great Bargain,Use them for cleaning and making meatloaf!,5.0,"Reviewed in the United States on November 23, 2022",
1651,Ferdy Roth,A,A,5.0,"Reviewed in the United States on December 4, 2022",
1652,Ron,They work.,They work but are very thin and easily ripped.,4.0,"Reviewed in the United States on August 29, 2022",
1653,Hickory,"for a small WOMEN'S GLOVE, they fit well!","These gloves fit my hands much better than the ones I had previously purchased.  They have not ripped, go further up my arm past my wrist, and the dimensions fit my hand better. Since I bought a box of 200, I think they will last a long time.",5.0,"Reviewed in the United States on September 28, 2022",
1654,Bookworm,Seem a little thin,Gloves are easy to tear,4.0,"Reviewed in the United States on August 31, 2022",
1655,Marco baltazar,La calidad es aceptable  !!,"Excelente  para las tareas cotidianas del hogar  viene en la medida perfecta al tamaño que haces tu pedido , se habla mucho de que tienen mal olor , es correcto al habría la caja ,despiden un olor no muy agradable,  pero solo es temporal  , porque  en 2 días el aroma desaparece  , dando paso a su aroma original  !!",4.0,"Reviewed in the United States on May 30, 2022",
1656,Daniel Le,Good deal,I use gloves for cleaning purposes.,5.0,"Reviewed in the United States on November 25, 2022",
1657,nathoeun Chiep,Affordable,All good.,4.0,"Reviewed in the United States on September 4, 2022",
1658,Emma Fields,"Good gloves,  good price.",Good gloves at a good price.,4.0,"Reviewed in the United States on August 28, 2022",
1659,Ronda,Serves the purpose I bought them for,This was a good value and they hold up well for cleaning,4.0,"Reviewed in the United States on August 15, 2022",
1660,Edward Wolfram,good gloves at a decent price,good gloves for cleaning or cooking.,5.0,"Reviewed in the United States on November 20, 2022",
1661,Pat,On time. Good product,Liked everything. Gloves are used for homehealth care,5.0,"Reviewed in the United States on November 13, 2022",
1662,Maryetta Thomas,Excellent,To handle raw meat and to clean,5.0,"Reviewed in the United States on November 15, 2022",
1663,Mia Alexandra,Will buy again ☺️,Perfect for all kinds of things. I’ve used them for light yard work & cleaning around the house.,5.0,"Reviewed in the United States on October 31, 2022",
1664,Amazon Customer,Not great,"These are not very sturdy, will not work for heavy duty jobs because they are thin and cheap. I see why they were so inexpensive, you get what you pay for.",3.0,"Reviewed in the United States on November 22, 2022",
1665,Arlene Cope,Excellent fit,"Perfect fit! Allows for cleaning, etc as if you weren't wearing anything but you're protected from germs. Extremely durable.",5.0,"Reviewed in the United States on October 29, 2022",
1666,adriana sanchez,Duran poco,Mmm 🤨 no son tan buenos pero si ayudan solo que se rompen con mucha facilidad asegúrate de perdir tu correcta talla,3.0,"Reviewed in the United States on December 7, 2022",
1667,Inna,Excellent gloves,Great to have in the kitchen!  I use them for mixing Hamburger meat. Plenty strong.,5.0,"Reviewed in the United States on November 3, 2022",
1668,Mommasita,Just my size!,"Having smaller hands can be a problem when caring for a loved one, especially when gloves are way too big. These fit perfectly and allow me to do what I need to do without extra glove length getting in the way.  They’re also super for handling meat or other food items when cooking.",5.0,"Reviewed in the United States on August 27, 2022",
1669,Amazon Customer,It fit properly,They fit but a little snug for size,4.0,"Reviewed in the United States on August 7, 2022",
1670,Amazon Customer,The box containing the gloves may be delivered squashed.,The box holding the gloves was squashed.,4.0,"Reviewed in the United States on August 6, 2022",
1671,Beach House DIY Guy,Just OK,"These work OK for really light work, but tear relatively easy.  In fact, I have torn some just putting them on. I will try another brand next time.",3.0,"Reviewed in the United States on November 19, 2022",
1672,Catherine Lopresti,rips very easily,"These rip very easily. In my case, it is ok. I only need to apply topical medicine to my cat daily. So, I only need to cut a finger off and put on my finger to apply to my cat's ear. If you are going to need to put the whole glove on, they rip easily, so beware.",3.0,"Reviewed in the United States on October 24, 2022",
1673,Darrel,A glove is mostly a glove,They are sized and cheaper than Walmart's one size fits most.,5.0,"Reviewed in the United States on October 27, 2022",
1674,Kandyce,"Good enough for home, but leaves strong after-smell on hands","The thickness of these gloves is on the thinner side (~3mil). Good enough for general house cleaning. They get the job done without tearing.They run on the smaller side - I have relatively small, thin hands and the mediums fit well.Main dislike is the odor from the gloves’ material lingers on my skin. I have to wash my hands 2x in order to get rid of the smell.",4.0,"Reviewed in the United States on April 10, 2022",
1675,Barbara Paige,Good vaule,Good fit,5.0,"Reviewed in the United States on November 14, 2022",
1676,Charlie,Cheap and thin,Cheap and thin,3.0,"Reviewed in the United States on December 13, 2022",
1677,Duy Truong,Good quality and price,Durable and straight forward,5.0,"Reviewed in the United States on November 6, 2022",
1678,LSmith,Nice,"Excellent for cleaning, painting, etc. Medium fits well for me, but if you have long fingers, buy the large size.",5.0,"Reviewed in the United States on October 13, 2022",
1679,Amazon Customer,Perfect non latex gloves!,"Good fit and feel.  I used these alot when I was sick to add to my mask anytime I had contact with something for my husband.  Handling food, medicine etc.  Will definitely reorder.  Thank you for quality.",5.0,"Reviewed in the United States on August 28, 2022",
1680,sirGman,Nice,Works as expected.,5.0,"Reviewed in the United States 🇺🇸 on November 2, 2022",
1681,Zelda,Purple,Comfortable fit,5.0,"Reviewed in the United States 🇺🇸 on November 7, 2022",
1682,Toni Garcia,good for getting gas in car & not on my hands,good for getting gas in car & not on my hands,5.0,"Reviewed in the United States 🇺🇸 on October 18, 2022",
1683,GILVER L,Soft and comfy,"Like them a lot, they’re like a second skin. If they were slightly more affordable I would buy them every week.",5.0,"Reviewed in the United States 🇺🇸 on September 29, 2022",
1684,leesentinella,Wow,Fit good,5.0,"Reviewed in the United States 🇺🇸 on November 3, 2022",
1685,Book Lover,Good gloves for the price,"We use these gloves when we clean, pick up after the dogs, etc. They fit and work well. The gloves are good for the price.",4.0,"Reviewed in the United States 🇺🇸 on May 25, 2022",
1686,Antarrius,Perfect fit,I use them in food service and it was a great buy.,5.0,"Reviewed in the United States 🇺🇸 on October 14, 2022",
1687,C. Hice,Value for Price,A bit thinner than expected but they work great and haven’t broken on me yet.  I use these for my pup (disgusting procedure I have to do regularly but won’t mention) and rely on my hands being protected.  These have worked great for performing this weekly task.,4.0,"Reviewed in the United States 🇺🇸 on April 14, 2022",
1688,Kindle Customer,They work as intended,I have medium size hands and the medium size fit me as they should.  The are strong enough not to tear while using as intended.  The gloves are just what I wanted.,5.0,"Reviewed in the United States 🇺🇸 on August 30, 2022",
1689,Raimundo sagbini FERNANDEZ,Buen producto,Súper,5.0,"Reviewed in the United States 🇺🇸 on October 31, 2022",
1690,Margaret Casey,Great,Just what we needed,4.0,"Reviewed in the United States 🇺🇸 on July 8, 2022",
1691,Raine's Dad,Great Gloves from People Who Care,"Not only are these durable, strong, and flexible, but they give you a delicate sense of touch.BEST OF ALL, HOWEVER, is the fact that the people who make and ship these gloves have a very strong sense of commitment to those of us who need the gloves for serious medical issues. I ordered the gloves in the morning, and on the afternoon of THE SAME DAY they arrived! ♥♥THANK YOU, GLOVE PEOPLE!!!♥♥",5.0,"Reviewed in the United States 🇺🇸 on June 11, 2022",
1692,Dream Caster,Very fast shipping,"Used for work use, painting , cleaning, trash removal. Good for light use.",5.0,"Reviewed in the United States 🇺🇸 on October 11, 2022",
1693,Robert bose,Very cheap,"You do pay for what you get and these are incredibly thin and cheap. However they were the cheapest ones I could find for the quantity. It all depends on what you want to do with these. If you are doing mild cleaning, they'll probably work great. However, if you are using them for anything that is more strenuous I would pass. I've had other nitric gloves that were so much better, however they did cost more. It all depends on what you're using them for. I have broke a great deal of them. Just putting them on however they work for what I need them for. It would be hard for me to recommend them because of all depends on what you're using them for",3.0,"Reviewed in the United States 🇺🇸 on June 14, 2022",
1694,Yolanda,"Super Comodos, me encantaron.",Me gusto porque me quedaron perfectamente bien. Los uso para acer mis comidas y me gusta que la masa no se pega.,5.0,"Reviewed in the United States 🇺🇸 on September 19, 2022",
1695,Anonymous,Easy to wear,Good value for money and easy to wear and comfortable,5.0,"Reviewed in the United States 🇺🇸 on October 12, 2022",
1696,carmen,Blue gloves,Very comfy and durable.,5.0,"Reviewed in the United States 🇺🇸 on October 21, 2022",
1697,Viclawy,Recieved package quickly.,Good quality gloves.,5.0,"Reviewed in the United States 🇺🇸 on October 23, 2022",
1698,BC,Work great,Work great fit nice,5.0,"Reviewed in the United States 🇺🇸 on October 21, 2022",
1699,moinerzdad,Useful for 3d Resin Printing,"Easy to use, less expensive than picking these up locally.",5.0,"Reviewed in the United States 🇺🇸 on September 29, 2022",
1700,Dee Cline,Nice,"What a deal I got on these gloves. I use them for everything cooking,cleaning, sometimes my hands get dried out and they break open so I use these at night to lock in my medicated lotion. They're so lightweight can't tell you have them on.Hands are brand new by morning",5.0,"Reviewed in the United States on July 3, 2022",
1701,CoCo ,"They protect my hands. Use, re-use, re-use and toss away","I like it that there are so many in a box. I divide the box up and keep gloves in every room. They’re comfortable, stretch to fit my hands perfectly, and be used over and over again. They don’t impede manual dexterity either. They’re snug and very flexible.",5.0,"Reviewed in the United States on July 7, 2022",
1702,Nicky Bell,Will not be buying these again due to the horrific smell,I like that my hands don’t get wet why wearing them like some gloves. I dislike VERY much the terrible sulphur smell that these gloves have and my hands still smell like that even after washing with warm soapy water. I have purchased these gloves in the past and have never had this problem. I have recently purchased 4 boxes and upon opening them EVERY box smells like sulphur. I am very disappointed due to the fact that I have to wear them with all day while taking care of my patients. My patients have even said they could smell them and for an elderly person that can’t  smell as good as younger folks that’s saying a lot. Please advise me on what to do as I am not happy with these gloves at all,3.0,"Reviewed in the United States on April 20, 2022",
1703,MorningChores,Great value,I bought both small and medium sized gloves for the family.  They're used for meal prep and some household chores. They fit well and are adequate for the use intended.,5.0,"Reviewed in the United States on August 14, 2022",
1704,ali,not a true large,this last batch were too small.  i always order a large but this last order fit more like a medium.  a bit dissapointed!,3.0,"Reviewed in the United States on October 17, 2022",
1705,Karen,they go on easier than any of the other types,"I have to use many topical creams due to nerve pain in my lower body...using these gloves make it very easy, and quick with no problems of smells or having to stop and wash the residue off my hands....they go on easily, come off easily and fit loose enough and firm enough....great product!!",5.0,"Reviewed in the United States on June 24, 2022",
1706,YanB,Perfect fit for large size,These gloves work well for me- durable and a good fit.,5.0,"Reviewed in the United States on September 25, 2022",
1707,Norma,Es un producto que cumplió mis expectativas,Para limpieza de casas y oficinas es un producto que cumplió mis espectativas,5.0,"Reviewed in the United States on September 19, 2022",
1708,Oleg,Hi,Very good item,5.0,"Reviewed in the United States on October 16, 2022",
1709,Amazon Customer,"On the thin side, but does the job","Gloves are comfortable and fit well. They didn’t tear or anything, but do seem a little on the thin side. Otherwise they work great.",5.0,"Reviewed in the United States on August 22, 2022",
1710,Leah 💛,Kitchen trash bags are thicker than these! (?1mil?),"Nowhere in the description, here or manufacturers website, did I find a specification of the thickness. I took a chance and ordered because my previous brand - regular ol' painters gloves (if they're not sealed and labeled as medically sterile, they're painters gloves in my opinion) that were about 4mil - had increased substantially in price. I wanted thicker because the 4mil do rip at the cuffs easily when putting on/pulling off with too much force and a sliver of a natural fingernail will slit the tips super easily, often). These are ***maybe*** 3 mil (do they make 1 mil because I feel certain my trash bags are more durable than these). If I had to guess I would guess 1 mil.SAVE YOUR MONEY UNLESS YOU JUST WANT THEM FOR ON/OFF AT THE GAS PUMP or something similarly quick and unlikely to rip them.",3.0,"Reviewed in the United States 🇺🇸 on March 16, 2022",
1711,Beth R. Burke,Great for sanatizing,Great vslue,5.0,"Reviewed in the United States 🇺🇸 on October 17, 2022",
1712,Jon,Thin But Tactile,I like that these gloves aren’t very thick. The thinness of them makes it easier to do work without losing dexterity like other gloves will.,4.0,"Reviewed in the United States 🇺🇸 on May 3, 2022",
1713,Ken,Good Gloves,"Good Gloves, so far they have held up when I wear them cleaning. Purchased at a price that was much more competitive that big box retailers.",5.0,"Reviewed in the United States 🇺🇸 on August 18, 2022",VINE VOICE
1714,DMSg,Durability in hand...,Hygienic and comfortable,5.0,"Reviewed in the United States 🇺🇸 on October 12, 2022",
1715,Pat,Gloves A littlebit higher than other sources.  I would buy again.,Price higher than other vendors.  Not anything to get upset about. I would buy again.,5.0,"Reviewed in the United States 🇺🇸 on September 7, 2022",
1716,SimpleSolutions,Fulfilled a need,The gloves came in useful to protect my hand after a wrist operation.,5.0,"Reviewed in the United States 🇺🇸 on September 15, 2022",
1717,Kindle Customer  MM,Dependability,Gloves fit good and I have sort hands and fingers.  Best fit I have ever had in disposal gloves.Having a family member that needs personal care and lives in our home means we use quite a few of the gloves.Best I have found on the market.,5.0,"Reviewed in the United States 🇺🇸 on June 25, 2022",
1718,Rick Samson,nitrile medical exam gloves,personal daily needs,4.0,"Reviewed in the United States 🇺🇸 on June 10, 2022",
1719,Marie,Well buy again,"Very good for the price,well buy this item again",5.0,"Reviewed in the United States 🇺🇸 on September 25, 2022",
1720,Kimberly,Very useful,"Only once during use out of many times, there were tiny holes on the tips of my gloves",4.0,"Reviewed in the United States 🇺🇸 on May 12, 2022",
1721,mandolin,better fit than latex gloves.,"These gloves are great, work just as well, actually fit better and easier to handle things while wearing. Better value than Latex",5.0,"Reviewed in the United States 🇺🇸 on August 23, 2022",
1722,Dee Rhodes,Box itself torn,The actual gloves are good fit and quality. The actual box that holds the gloves looks as if it got in a battle… and lost!,4.0,"Reviewed in the United States 🇺🇸 on April 21, 2022",
1723,AmazonCustomer,better than latex,"Compared to the latex gloves I used before, these Nitrile gloves are much easier to put on and are less vulnerable to damage when putting on.  My hands are not particularly large, but the size large fits perfectly.  I'm glad I went with earlier reviews and ordered size large.  I use these gloves as a hygienic barrier (I'm a caretaker for an elderly woman) when cleaning up ""accidents.""",5.0,"Reviewed in the United States 🇺🇸 on April 18, 2022",
1724,Mona,Best disposable gloves I have yet used,I go through many of these gloves daily and they stay put once they're on and do not rip while putting them on.  I am very pleased withe them.,5.0,"Reviewed in the United States 🇺🇸 on August 2, 2022",
1725,wilbert shirley,free shipping,the price was great along with free shipping,5.0,"Reviewed in the United States 🇺🇸 on September 15, 2022",
1726,Karen L. Hansmann,Awesome!!,Great product for price  in comparison to the more expensive ones out there. Sizes are accurate! Have bought multiple times and never been disappointed.,5.0,"Reviewed in the United States 🇺🇸 on August 5, 2022",
1727,Craz,These don’t break,These are perfect and work as described!!,5.0,"Reviewed in the United States 🇺🇸 on September 20, 2022",
1728,Earl Crain,Work well for airbrushing and epoxy,I use them for epoxying tumblers and clear coating fishing lures and also airbrushing very comfortable for what I use them for and pretty durable and very good all around for the price,5.0,"Reviewed in the United States 🇺🇸 on July 22, 2022",
1729,George W Bowles Sr,Nitrile Gloves,Great Buy,5.0,"Reviewed in the United States 🇺🇸 on October 3, 2022",
1730,Rae,Good gloves,Just wish it was cheaper,4.0,"Reviewed in the United States on May 25, 2022",
1731,J. Gary Gasper,Speedy delivery!,Purchase came faster than expected.  And the price was right too!!,5.0,"Reviewed in the United States on August 27, 2022",
1732,rboatenhamer,Xl gloves hard to find,My husband has daily catheters changes. Gloves work well,5.0,"Reviewed in the United States on September 8, 2022",
1733,Susan,Gloves,Great gloves for the job.,5.0,"Reviewed in the United States on September 20, 2022",
1734,Marge,Great for working with bird feeders and some plants,I mainly use these gloves when adding seed to the bird feeders.,5.0,"Reviewed in the United States on August 26, 2022",
1735,Amazon Customer,Good quality,I’ve ordered a few brands off Amazon and they all have been great. These seem to be durable but I only use them for 10 mins at a time to apply spray tan. But it keeps the tan even and protect my palms! Work well in my case,5.0,"Reviewed in the United States on May 30, 2022",
1736,Rhonda Hammond,Very good,They’re well made and fit perfectly.,5.0,"Reviewed in the United States on September 13, 2022",
1737,Angela B. Bias,Very durable at a great price,We use these gloves for multiple purposes.  We use them to stain outdoor furniture.  To bathe and lather our dogs. I also use them to dye my hair. The price is very reasonable.  Will definitely order them again.,5.0,"Reviewed in the United States on June 22, 2022",
1738,aarcor,Nice gloves,Comfortable,5.0,"Reviewed in the United States on September 29, 2022",
1739,Jennifer,Perfect for camping,My husband puts these on to empty the sewer from our trailer. They work perfectly.,5.0,"Reviewed in the United States on August 15, 2022",
1740,CC,Great Product,Great product.,5.0,"Reviewed in the United States 🇺🇸 on September 23, 2022",
1741,No name,adequate for  non medical useConvinient for a group of aides,convinient for a group of aides that demand the use of a lot of gloves,4.0,"Reviewed in the United States 🇺🇸 on April 14, 2022",
1742,The_Truth,They are not really thick,"The thickness of the gloves are thin. So they are not really durable, however they do get the job done.",5.0,"Reviewed in the United States 🇺🇸 on August 3, 2022",
1743,D. Goolsby,Large size fits my hand well,"Large size gloves fit well on my hand, the mediums were a little hassle to get on.",5.0,"Reviewed in the United States 🇺🇸 on August 9, 2022",
